"","date","latitude","site","size","air_temp","air_temp_sd","water_temp","water_temp_sd","name"
"1",2016-07-24,30,"GTM",12.43,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"2",2016-07-24,30,"GTM",14.18,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"3",2016-07-24,30,"GTM",14.52,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"4",2016-07-24,30,"GTM",12.94,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"5",2016-07-24,30,"GTM",12.45,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"6",2016-07-24,30,"GTM",12.99,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"7",2016-07-24,30,"GTM",10.32,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"8",2016-07-24,30,"GTM",11.19,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"9",2016-07-24,30,"GTM",12.68,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"10",2016-07-24,30,"GTM",14.55,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"11",2016-07-24,30,"GTM",14.92,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"12",2016-07-24,30,"GTM",13.48,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"13",2016-07-24,30,"GTM",13.76,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"14",2016-07-24,30,"GTM",13.1,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"15",2016-07-24,30,"GTM",13.56,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"16",2016-07-24,30,"GTM",13.51,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"17",2016-07-24,30,"GTM",12.12,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"18",2016-07-24,30,"GTM",14.33,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"19",2016-07-24,30,"GTM",12.52,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"20",2016-07-24,30,"GTM",12.03,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"21",2016-07-24,30,"GTM",11.84,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"22",2016-07-24,30,"GTM",7.55,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"23",2016-07-24,30,"GTM",12.59,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"24",2016-07-24,30,"GTM",10.05,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"25",2016-07-24,30,"GTM",13,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"26",2016-07-24,30,"GTM",11.29,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"27",2016-07-24,30,"GTM",11.58,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"28",2016-07-24,30,"GTM",7.81,21.792,6.391,24.502,6.121,"Guana Tolomoto Matanzas NERR"
"29",2016-07-26,31.4,"SI",9.26,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"30",2016-07-26,31.4,"SI",12.58,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"31",2016-07-26,31.4,"SI",10.51,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"32",2016-07-26,31.4,"SI",8.09,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"33",2016-07-26,31.4,"SI",10.96,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"34",2016-07-26,31.4,"SI",9.55,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"35",2016-07-26,31.4,"SI",7.28,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"36",2016-07-26,31.4,"SI",12.66,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"37",2016-07-26,31.4,"SI",6.64,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"38",2016-07-26,31.4,"SI",10.56,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"39",2016-07-26,31.4,"SI",10.62,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"40",2016-07-26,31.4,"SI",11.11,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"41",2016-07-26,31.4,"SI",13.39,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"42",2016-07-26,31.4,"SI",7.65,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"43",2016-07-26,31.4,"SI",10.33,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"44",2016-07-26,31.4,"SI",6.91,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"45",2016-07-26,31.4,"SI",9.45,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"46",2016-07-26,31.4,"SI",7.96,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"47",2016-07-26,31.4,"SI",8.86,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"48",2016-07-26,31.4,"SI",13.63,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"49",2016-07-26,31.4,"SI",9.55,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"50",2016-07-26,31.4,"SI",10.75,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"51",2016-07-26,31.4,"SI",9.09,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"52",2016-07-26,31.4,"SI",9.09,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"53",2016-07-26,31.4,"SI",9.08,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"54",2016-07-26,31.4,"SI",9.73,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"55",2016-07-26,31.4,"SI",8.88,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"56",2016-07-26,31.4,"SI",11.42,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"57",2016-07-26,31.4,"SI",10.86,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"58",2016-07-26,31.4,"SI",9.18,20.83,7.414,22.064,6.495,"Sapelo Island NERR"
"59",2016-07-28,33.3,"NIB",14.53,18.967,7.99,21.144,7.164,"North Inlet Winyah Bay NERR"
"60",2016-07-28,33.3,"NIB",17.29,18.967,7.99,21.144,7.164,"North Inlet Winyah Bay NERR"
"61",2016-07-28,33.3,"NIB",14.69,18.967,7.99,21.144,7.164,"North Inlet Winyah Bay NERR"
"62",2016-07-28,33.3,"NIB",12.57,18.967,7.99,21.144,7.164,"North Inlet Winyah Bay NERR"
"63",2016-07-28,33.3,"NIB",12.89,18.967,7.99,21.144,7.164,"North Inlet Winyah Bay NERR"
"64",2016-07-28,33.3,"NIB",15.14,18.967,7.99,21.144,7.164,"North Inlet Winyah Bay NERR"
"65",2016-07-28,33.3,"NIB",16.99,18.967,7.99,21.144,7.164,"North Inlet Winyah Bay NERR"
"66",2016-07-28,33.3,"NIB",14.01,18.967,7.99,21.144,7.164,"North Inlet Winyah Bay NERR"
"67",2016-07-28,33.3,"NIB",15.32,18.967,7.99,21.144,7.164,"North Inlet Winyah Bay NERR"
